Date,Open,High,Low,Close,Adj Close,Volume
11/9/2015,214.75,214.75,214.75,214.800003,214.800003,0
11/10/2015,214.75,214.800003,214.75,214.800003,214.800003,0
11/11/2015,214.800003,214.800003,214.75,214.75,214.75,0
11/12/2015,214.800003,214.800003,214.75,214.75,214.75,0
11/13/2015,214.75,214.75,214.75,214.800003,214.800003,0
11/16/2015,214.75,214.800003,214.75,214.800003,214.800003,0
11/17/2015,214.75,214.75,214.75,214.800003,214.800003,0
11/18/2015,214.800003,214.800003,214.800003,214.75,214.75,0
11/19/2015,214.800003,214.800003,214.75,214.75,214.75,0
11/20/2015,214.800003,214.800003,214.75,214.75,214.75,0
11/23/2015,214.800003,214.800003,214.75,214.75,214.75,0
11/24/2015,214.800003,214.800003,214.75,214.75,214.75,0
11/25/2015,214.800003,214.800003,214.75,214.75,214.75,0
11/26/2015,214.800003,214.800003,214.75,214.75,214.75,0
11/27/2015,214.800003,214.800003,214.800003,214.800003,214.800003,0
11/30/2015,214.800003,214.800003,214.800003,214.75,214.75,0
12/1/2015,214.800003,214.800003,214.75,214.800003,214.800003,0
12/2/2015,214.800003,214.800003,214.800003,214.75,214.75,0
12/3/2015,214.75,214.75,214.75,214.800003,214.800003,0
12/4/2015,214.800003,214.800003,214.800003,214.75,214.75,0
12/7/2015,214.75,214.75,214.75,214.800003,214.800003,0
12/8/2015,214.75,214.800003,214.75,214.800003,214.800003,0
12/9/2015,214.75,214.800003,214.75,214.75,214.75,0
12/10/2015,214.75,214.75,214.75,214.800003,214.800003,0
12/11/2015,214.800003,214.800003,214.75,214.800003,214.800003,0
12/14/2015,214.75,214.75,214.75,214.800003,214.800003,0
12/15/2015,214.75,214.75,214.75,214.800003,214.800003,0
12/16/2015,214.800003,214.800003,214.800003,214.75,214.75,0
12/17/2015,214.800003,214.800003,214.800003,214.75,214.75,0
12/18/2015,214.800003,214.800003,214.75,214.75,214.75,0
12/21/2015,214.800003,214.800003,214.800003,214.75,214.75,0
12/22/2015,214.75,214.800003,214.75,214.800003,214.800003,0
12/23/2015,214.75,214.75,214.75,214.800003,214.800003,0
12/24/2015,214.75,214.800003,214.75,214.800003,214.800003,0
12/25/2015,214.75,214.800003,214.75,214.800003,214.800003,0
12/28/2015,214.75,214.800003,214.75,214.800003,214.800003,0
12/29/2015,214.800003,214.800003,214.800003,214.75,214.75,0
12/30/2015,214.800003,214.800003,214.800003,214.75,214.75,0
12/31/2015,214.75,214.800003,214.75,214.800003,214.800003,0
1/1/2016,214.75,214.800003,214.75,214.800003,214.800003,0
1/4/2016,214.75,214.75,214.75,214.800003,214.800003,0
1/5/2016,214.800003,214.800003,214.75,214.75,214.75,0
1/6/2016,214.800003,214.800003,214.75,214.75,214.75,0
1/7/2016,214.75,214.75,214.75,214.699997,214.699997,0
1/8/2016,214.75,214.800003,214.75,214.699997,214.699997,0
1/11/2016,214.75,214.800003,214.75,214.699997,214.699997,0
1/12/2016,214.75,214.800003,214.75,214.699997,214.699997,0
1/13/2016,214.75,214.800003,214.75,214.699997,214.699997,0
1/14/2016,214.75,214.800003,214.75,214.699997,214.699997,0
1/15/2016,214.75,214.800003,214.75,214.699997,214.699997,0
1/18/2016,214.800003,214.800003,214.800003,214.75,214.75,0
1/19/2016,214.800003,214.800003,214.800003,214.75,214.75,0
1/20/2016,214.800003,214.800003,214.800003,214.75,214.75,0
1/21/2016,214.75,214.800003,214.75,214.800003,214.800003,0
1/22/2016,214.800003,214.800003,214.800003,214.75,214.75,0
1/25/2016,214.800003,214.800003,214.800003,214.75,214.75,0
1/26/2016,214.850006,214.850006,214.850006,214.800003,214.800003,0
1/27/2016,214.800003,214.800003,214.800003,214.75,214.75,0
1/28/2016,214.800003,214.800003,214.75,214.75,214.75,0
1/29/2016,214.75,214.800003,214.75,214.800003,214.800003,0
2/1/2016,214.75,214.800003,214.75,214.800003,214.800003,0
2/2/2016,214.75,214.800003,214.75,214.75,214.75,0
2/3/2016,214.75,214.75,214.75,214.800003,214.800003,0
2/4/2016,214.800003,214.800003,214.800003,214.75,214.75,0
2/5/2016,214.75,214.800003,214.75,214.800003,214.800003,0
2/8/2016,214.75,214.800003,214.75,214.800003,214.800003,0
2/9/2016,214.75,214.75,214.75,214.800003,214.800003,0
2/10/2016,214.75,214.75,214.75,214.800003,214.800003,0
2/11/2016,214.800003,214.800003,214.800003,214.75,214.75,0
2/12/2016,214.75,214.800003,214.75,214.800003,214.800003,0
2/15/2016,214.75,214.800003,214.75,214.800003,214.800003,0
2/16/2016,214.75,214.75,214.75,214.800003,214.800003,0
2/17/2016,214.75,214.800003,214.75,214.800003,214.800003,0
2/18/2016,214.75,214.850006,214.75,214.800003,214.800003,0
2/19/2016,214.800003,214.800003,214.800003,214.75,214.75,0
2/22/2016,214.800003,214.800003,214.75,214.800003,214.800003,0
2/23/2016,214.800003,214.800003,214.75,214.800003,214.800003,0
2/24/2016,214.800003,214.800003,214.800003,214.800003,214.800003,0
2/25/2016,214.75,214.75,214.75,214.800003,214.800003,0
2/26/2016,214.75,214.800003,214.75,214.800003,214.800003,0
2/29/2016,214.800003,214.800003,214.800003,214.75,214.75,0
3/1/2016,214.800003,214.800003,214.75,214.75,214.75,0
3/2/2016,214.75,214.75,214.75,214.800003,214.800003,0
3/3/2016,214.800003,214.800003,214.800003,214.75,214.75,0
3/4/2016,214.800003,214.800003,214.800003,214.800003,214.800003,0
3/7/2016,214.800003,214.800003,214.75,214.800003,214.800003,0
3/8/2016,214.800003,214.800003,214.75,214.800003,214.800003,0
3/9/2016,214.800003,214.800003,214.75,214.800003,214.800003,0
3/10/2016,214.800003,214.800003,214.75,214.800003,214.800003,0
3/11/2016,214.800003,214.800003,214.75,214.800003,214.800003,0
3/14/2016,214.75,214.800003,214.75,214.800003,214.800003,0
3/15/2016,214.800003,214.800003,214.75,214.75,214.75,0
3/16/2016,214.800003,214.800003,214.75,214.800003,214.800003,0
3/17/2016,214.800003,214.800003,214.800003,214.75,214.75,0
3/18/2016,214.75,214.75,214.75,214.800003,214.800003,0
3/21/2016,214.75,214.75,214.75,214.800003,214.800003,0
3/22/2016,214.800003,214.800003,214.75,214.75,214.75,0
3/23/2016,214.75,214.75,214.75,214.800003,214.800003,0
3/24/2016,214.800003,214.800003,214.75,214.75,214.75,0
3/25/2016,214.75,214.75,214.75,214.699997,214.699997,0
3/28/2016,214.800003,214.800003,214.75,214.75,214.75,0
3/29/2016,214.800003,214.800003,214.75,214.75,214.75,0
3/30/2016,214.800003,214.800003,214.800003,214.75,214.75,0
3/31/2016,214.75,214.75,214.75,214.800003,214.800003,0
4/1/2016,214.75,214.75,214.75,214.699997,214.699997,0
4/4/2016,214.800003,214.800003,214.800003,214.800003,214.800003,0
4/5/2016,249.5,249.75,249.5,214.75,214.75,0
4/6/2016,249.699997,249.75,249.699997,249.75,249.75,0
4/7/2016,249.5,249.550003,249.5,249.75,249.75,0
4/8/2016,249.5,249.5,249.5,249.550003,249.550003,0
4/11/2016,249.699997,249.699997,249.699997,249.75,249.75,0
4/12/2016,249.699997,249.75,249.699997,249.75,249.75,0
4/13/2016,249.699997,249.75,249.699997,249.75,249.75,0
4/14/2016,249.699997,249.75,249.699997,249.75,249.75,0
4/15/2016,249.699997,249.75,249.699997,249.75,249.75,0
4/18/2016,250,250,250,249.75,249.75,0
4/19/2016,249.949997,249.949997,249.949997,249.899994,249.899994,0
4/20/2016,249.75,249.75,249.699997,250,250,0
4/21/2016,249.75,249.75,249.699997,249.5,249.5,0
4/22/2016,249.699997,249.699997,249.699997,249.75,249.75,0
4/25/2016,249.75,249.75,249.75,249.699997,249.699997,0
4/26/2016,249.800003,249.800003,249.800003,249.75,249.75,0
4/27/2016,249.699997,249.75,249.699997,249.75,249.75,0
4/28/2016,249.699997,249.75,249.699997,249.699997,249.699997,0
4/29/2016,249.75,249.75,249.699997,249.75,249.75,0
5/2/2016,249.75,249.75,249.699997,249.75,249.75,0
5/3/2016,249.75,249.75,249.699997,249.75,249.75,0
5/4/2016,249.699997,249.699997,249.699997,249.699997,249.699997,0
5/5/2016,249.699997,249.75,249.699997,249.699997,249.699997,0
5/6/2016,249.699997,249.699997,249.699997,249.75,249.75,0
5/9/2016,249.75,249.75,249.699997,249.75,249.75,0
5/10/2016,249.699997,249.75,249.699997,249.75,249.75,0
5/11/2016,249.699997,249.75,249.699997,249.699997,249.699997,0
5/12/2016,249.699997,249.699997,249.699997,249.75,249.75,0
5/13/2016,249.75,249.75,249.75,249.699997,249.699997,0
5/16/2016,249.75,249.75,249.699997,249.699997,249.699997,0
5/17/2016,249.75,249.75,249.699997,249.699997,249.699997,0
5/18/2016,249.800003,249.899994,249.800003,249.800003,249.800003,0
5/19/2016,249.75,249.75,249.699997,249.75,249.75,0
5/20/2016,249.75,249.75,249.699997,249.75,249.75,0
5/23/2016,249.75,249.75,249.699997,249.75,249.75,0
5/24/2016,249.75,249.75,249.699997,249.699997,249.699997,0
5/25/2016,249.699997,249.75,249.699997,249.699997,249.699997,0
5/26/2016,249.75,249.75,249.75,249.75,249.75,0
5/27/2016,249.699997,249.75,249.5,249.699997,249.699997,0
5/30/2016,249.699997,249.75,249.5,249.699997,249.699997,0
5/31/2016,249.550003,249.550003,249.5,249.550003,249.550003,0
6/1/2016,249.550003,249.550003,249.5,249.550003,249.550003,0
6/2/2016,249.550003,249.800003,249.550003,249.5,249.5,0
6/3/2016,249.75,249.800003,249.75,249.75,249.75,0
6/6/2016,249.699997,249.75,249.699997,249.75,249.75,0
6/7/2016,249.699997,249.75,249.699997,249.75,249.75,0
6/8/2016,249.75,249.75,249.699997,249.75,249.75,0
