Date, Close/Last, Volume, Open, High, Low
11/6/2020,37.14,381564,38.54,38.61,37.06
11/5/2020,38.79,279316,39.17,38.56,38.4
11/4/2020,39.15,417326,38.15,39.16,38.93
11/3/2020,37.66,390487,37.03,38.23,37.8
11/2/2020,36.81,467629,35.24,37.15,33.64
10/30/2020,35.79,367503,36.07,36.6,35.21
10/29/2020,36.17,533963,37.39,37.76,34.92
10/28/2020,37.39,466151,38.97,37.57,36.97
10/27/2020,39.57,324103,38.59,39.83,38.51
10/26/2020,38.56,341684,39.69,39.74,38.28
10/23/2020,39.85,251057,40.61,40.92,39.57
10/22/2020,40.64,292201,40.04,41.02,39.71
10/21/2020,40.03,346021,41.22,41.59,39.78
10/20/2020,41.46,17399,40.65,41.7,40.25
10/19/2020,40.83,52565,40.69,41.22,40.54
10/16/2020,40.88,83245,40.88,41.05,40.08
10/15/2020,40.96,230737,41.13,41.03,40.92
10/14/2020,41.04,302316,40.19,41.16,39.82
10/13/2020,40.2,330962,39.53,40.28,40.14
10/12/2020,39.43,290338,40.4,40.45,39.04
10/9/2020,40.6,304787,41.31,41.47,40.38
10/8/2020,41.19,379278,39.99,41.33,39.76
10/7/2020,39.95,405108,39.83,40.35,39.28
10/6/2020,40.67,382606,39.35,40.86,39.1
10/5/2020,39.22,354266,37,39.72,37
10/2/2020,37.05,369869,38.6,37.08,36.86
10/1/2020,38.72,415352,39.9,40.47,37.61
9/30/2020,40.22,323219,39.16,40.09,39.81
9/29/2020,39.29,356884,40.58,40.7,38.41
9/28/2020,40.6,212719,40.07,40.8,39.78
9/25/2020,40.25,214146,40.15,40.64,39.71
9/24/2020,40.31,258227,39.6,40.37,39.12
9/23/2020,39.93,298174,39.76,40.72,39.49
9/22/2020,39.6,15651,39.63,40.02,39
9/21/2020,39.31,33734,40.98,41.27,38.66
9/18/2020,41.11,73755,40.97,41.18,40.57
9/17/2020,40.97,262034,40.19,41.22,39.42
9/16/2020,40.16,342971,38.35,40.34,38.35
9/15/2020,38.28,314656,37.28,38.57,37.06
9/14/2020,37.26,309669,37.32,37.68,36.82
9/11/2020,37.33,331966,37.01,37.82,36.67
9/10/2020,37.3,338923,37.8,38.18,36.93
9/9/2020,38.05,428422,36.79,38.45,36.16
9/8/2020,36.76,686873,39.48,39.59,36.13
9/4/2020,39.77,423209,41.25,40.9,39.35
9/3/2020,41.37,393678,41.63,41.79,40.22
9/2/2020,41.51,396996,43.02,43.21,41.23
9/1/2020,42.76,269697,42.83,43.43,42.72
8/31/2020,42.61,219480,42.91,43.57,42.56
8/28/2020,42.97,255609,42.98,43.42,42.69
8/27/2020,43.04,305095,43.45,43.5,42.36
8/26/2020,43.39,249771,43.39,43.78,43
8/25/2020,43.35,316506,42.36,43.57,42.31
8/24/2020,42.62,276796,42.48,42.89,42.23
8/21/2020,42.34,328732,42.75,42.96,41.46
8/20/2020,42.58,17963,42.74,42.79,41.5
8/19/2020,42.93,44996,42.6,43.03,42.36
8/18/2020,42.55,94785,42.79,42.99,42.11
8/17/2020,42.89,187797,42.24,42.97,41.8
8/14/2020,42.01,281945,42.33,42.57,41.62
8/13/2020,42.24,282898,42.57,42.84,42.09
8/12/2020,42.67,359950,41.62,42.9,41.53
8/11/2020,41.61,399369,41.98,42.94,41.48
8/10/2020,41.94,328469,41.5,42.33,41.17
8/7/2020,41.22,365478,41.97,42.22,41.06
8/6/2020,41.95,339186,42.19,42.65,41.61
8/5/2020,42.19,472591,41.56,43.52,41.47
8/4/2020,41.7,427371,40.78,42.08,40.14
8/3/2020,41.01,313783,40.39,41.24,39.58
7/31/2020,40.27,293852,40.34,40.55,39.66
7/30/2020,39.92,457153,41.32,41.39,38.72
