price_date,eth_price,btc_price,eth_volume,btc_volume
2015-08-07 00:00:00.000,2.83162,135.3,90622.0,0.0
2015-08-08 00:00:00.000,1.33075,141.96,368070.0,0.0
2015-08-10 00:00:00.000,0.6875857090838133,135.3,400464.0745435489,0.0
2015-08-11 00:00:00.000,1.067378879429946,117.0,1518998.2053373822,0.0
2015-08-12 00:00:00.000,1.256613175101658,103.43,2073893.3450314845,0.0
2015-08-13 00:00:00.000,1.825395446319752,91.01,4380142.704000345,0.0
2015-08-14 00:00:00.000,1.825974891355639,111.25,4355618.378552116,0.0
2015-08-15 00:00:00.000,1.670949668937766,116.79,2519633.2708181436,0.0
2015-08-16 00:00:00.000,1.476607254205028,118.33,3032657.656405736,0.0
2015-08-17 00:00:00.000,1.20387143115441,106.4,1880092.2147175823,0.0
2015-08-18 00:00:00.000,1.281393051659975,112.64,1696013.472335737,0.0
2015-08-19 00:00:00.000,1.252738651679077,113.0,1537200.8409894055,0.0
2015-08-20 00:00:00.000,1.484195074171873,118.78,2967730.5022106003,0.0
2015-08-21 00:00:00.000,1.40631477379752,113.01,1742881.8081502889,0.0
2015-08-22 00:00:00.000,1.380721536476638,114.713,914588.6539745613,0.0
2015-08-23 00:00:00.000,1.355182100454404,117.18,1610695.8727506467,0.0
2015-08-24 00:00:00.000,1.24657168269902,114.5,696476.5553267623,0.0
2015-08-25 00:00:00.000,1.160828327907264,114.156,1053169.3862050485,0.0
2015-08-26 00:00:00.000,1.119639156482987,115.5,1151700.041593045,0.0
2015-08-27 00:00:00.000,1.133690694008804,123.1,681460.2394411361,0.0
2015-08-28 00:00:00.000,1.188895698722608,123.88,715178.7899308845,0.0
2015-08-29 00:00:00.000,1.174343905252208,120.501,607200.891453558,0.0
2015-08-30 00:00:00.000,1.322350879918967,122.58,1045589.321256734,0.0
2015-08-31 00:00:00.000,1.353368417391325,122.9,1197102.0492865555,0.0
2015-09-01 00:00:00.000,1.350786688734447,123.0,610368.2430900692,0.0
2015-09-02 00:00:00.000,1.278810765308764,125.748,629746.119316548,0.0
2015-09-03 00:00:00.000,1.262770719520856,131.7,583923.7452450913,0.0
2015-09-04 00:00:00.000,1.269520099878085,130.77,333502.66115673864,0.0
2015-09-05 00:00:00.000,1.334976229386974,134.6,350815.4668948872,0.0
2015-09-06 00:00:00.000,1.29888313413515,128.985,317470.0943419727,0.0
2015-09-07 00:00:00.000,1.256223439965584,129.179,487005.2028033498,0.0
2015-09-08 00:00:00.000,1.236033260936938,132.13,419148.8018252036,0.0
2015-09-09 00:00:00.000,1.206529945086729,127.401,367774.3318949896,0.0
2015-09-10 00:00:00.000,1.167234841402144,127.98,639527.9174929534,0.0
2015-09-11 00:00:00.000,0.9765090926915041,129.09,1901710.694902119,0.0
2015-09-12 00:00:00.000,1.038203585306107,121.3,800623.2998453851,0.0
2015-09-13 00:00:00.000,0.9386521502557871,121.16,658895.1959938455,0.0
2015-09-14 00:00:00.000,0.87402296242848,121.309,739213.7259180878,0.0
2015-09-15 00:00:00.000,0.9418231857274298,121.714,725816.471124354,0.0
2015-09-16 00:00:00.000,0.9032199195724051,119.0,629370.0849072988,0.0
2015-09-17 00:00:00.000,0.8830787289063511,110.09,910704.9512256783,0.0
2015-09-18 00:00:00.000,0.8460709193872474,108.401,478606.3969218407,0.0
2015-09-19 00:00:00.000,0.8821037996855977,99.7497,387803.6167124918,0.0
2015-09-20 00:00:00.000,0.9363277614869444,105.99,514836.10862474947,0.0
2015-09-21 00:00:00.000,0.9010928790890973,108.9,429253.50431215833,0.0
2015-09-22 00:00:00.000,0.8971422650551497,108.4,485738.9553869821,0.0
2015-09-23 00:00:00.000,0.8940475222994914,102.769,204065.40590088838,0.0
2015-09-24 00:00:00.000,0.8160373080893036,98.399,818263.068224302,0.0
2015-09-25 00:00:00.000,0.7405192998515878,99.99,901151.6190115963,0.0
2015-09-26 00:00:00.000,0.7778014991497727,100.42,379124.1859007531,0.0
2015-09-27 00:00:00.000,0.7213584231130563,102.0,408380.6390382605,0.0
2015-09-28 00:00:00.000,0.5830570046974366,106.55,1214056.2117823916,0.0
2015-09-29 00:00:00.000,0.657832489515796,107.9,936630.3296074625,0.0
2015-09-30 00:00:00.000,0.7347630535971914,110.91,640217.6226458604,0.0
2015-10-01 00:00:00.000,0.6858121897138929,109.015,588839.7815035215,0.0
2015-10-02 00:00:00.000,0.6762217338750541,107.25,220969.48495190177,0.0
2015-10-03 00:00:00.000,0.6874757575411915,108.0,163820.85347975112,0.0
2015-10-04 00:00:00.000,0.6675468579375702,102.443,104370.45073472841,0.0
2015-10-05 00:00:00.000,0.6282550742429386,103.691,221647.20706785333,0.0
2015-10-06 00:00:00.000,0.64565776230867,103.39,268523.03787593375,0.0
2015-10-07 00:00:00.000,0.6100126973575233,99.66,216715.50684861522,0.0
2015-10-08 00:00:00.000,0.6234833021554507,93.3311,310876.1441075317,0.0
2015-10-09 00:00:00.000,0.650768764684828,95.3886,379233.1220398259,0.0
2015-10-10 00:00:00.000,0.6297949417268295,97.504,145554.93808006204,0.0
2015-10-11 00:00:00.000,0.6370439806918999,89.489,87074.79961764446,0.0
2015-10-12 00:00:00.000,0.628787281832734,90.797,108895.52921643597,0.0
2015-10-13 00:00:00.000,0.6026272723327593,78.8,297117.07710031554,0.0
2015-10-14 00:00:00.000,0.517689435598842,78.48,944847.8047126097,0.0
2015-10-15 00:00:00.000,0.5614990042588522,67.809,376563.0715091993,0.0
2015-10-16 00:00:00.000,0.5331480200007419,68.0831,247071.24723507115,0.0
