Date,Open,High,Low,Close,Adj Close,Volume
2015-11-11,0.008124,0.008147,0.008117,0.008125,0.008125,0
2015-11-12,0.008147,0.008152,0.008126,0.008146,0.008146,0
2015-11-13,0.008159,0.008164,0.008141,0.008159,0.008159,0
2015-11-16,0.008177,0.008177,0.008119,0.008172,0.008172,0
2015-11-17,0.008113,0.008118,0.008099,0.008113,0.008113,0
2015-11-18,0.008101,0.008116,0.008093,0.008101,0.008101,0
2015-11-19,0.008096,0.008143,0.008094,0.008096,0.008096,0
2015-11-20,0.008137,0.008148,0.008128,0.008136,0.008136,0
2015-11-23,0.008135,0.008143,0.008114,0.008135,0.008135,0
2015-11-24,0.008134,0.008171,0.008134,0.008136,0.008136,0
2015-11-25,0.008162,0.008180,0.008137,0.008163,0.008163,0
2015-11-26,0.008152,0.008163,0.008151,0.008151,0.008151,0
2015-11-27,0.008155,0.008176,0.008145,0.008154,0.008154,0
2015-11-30,0.008142,0.008151,0.008113,0.008141,0.008141,0
2015-12-01,0.008117,0.008153,0.008112,0.008116,0.008116,0
2015-12-02,0.008136,0.008141,0.008101,0.008136,0.008136,0
2015-12-03,0.008116,0.008138,0.008094,0.008115,0.008115,0
2015-12-04,0.008154,0.008166,0.008107,0.008153,0.008153,0
2015-12-07,0.008117,0.008120,0.008099,0.008118,0.008118,0
2015-12-08,0.008110,0.008148,0.008109,0.008112,0.008112,0
2015-12-09,0.008135,0.008207,0.008128,0.008136,0.008136,0
2015-12-10,0.008218,0.008247,0.008207,0.008217,0.008217,0
2015-12-11,0.008217,0.008275,0.008183,0.008216,0.008216,0
2015-12-14,0.008272,0.008289,0.008242,0.008272,0.008272,0
2015-12-15,0.008256,0.008292,0.008215,0.008258,0.008258,0
2015-12-16,0.008219,0.008224,0.008191,0.008219,0.008219,0
2015-12-17,0.008165,0.008181,0.008146,0.008166,0.008166,0
2015-12-18,0.008166,0.008258,0.008108,0.008167,0.008167,0
2015-12-21,0.008244,0.008260,0.008231,0.008244,0.008244,0
2015-12-22,0.008250,0.008283,0.008244,0.008250,0.008250,0
2015-12-23,0.008263,0.008277,0.008261,0.008262,0.008262,0
2015-12-24,0.008269,0.008316,0.008268,0.008269,0.008269,0
2015-12-25,0.008311,0.008331,0.008311,0.008322,0.008322,0
2015-12-28,0.008316,0.008317,0.008290,0.008317,0.008317,0
2015-12-29,0.008310,0.008318,0.008299,0.008309,0.008309,0
2015-12-30,0.008297,0.008309,0.008290,0.008297,0.008297,0
2015-12-31,0.008302,0.008333,0.008299,0.008302,0.008302,0
2016-01-01,0.008313,0.008313,0.008313,0.008313,0.008313,0
2016-01-04,0.008311,0.008423,0.008302,0.008312,0.008312,0
2016-01-05,0.008370,0.008417,0.008356,0.008371,0.008371,0
2016-01-06,0.008396,0.008456,0.008393,0.008396,0.008396,0
2016-01-07,0.008431,0.008521,0.008421,0.008431,0.008431,0
2016-01-08,0.008508,0.008510,0.008424,0.008508,0.008508,0
2016-01-11,0.008542,0.008546,0.008475,0.008541,0.008541,0
2016-01-12,0.008498,0.008530,0.008471,0.008500,0.008500,0
2016-01-13,0.008487,0.008490,0.008449,0.008487,0.008487,0
2016-01-14,0.008518,0.008524,0.008463,0.008516,0.008516,0
2016-01-15,0.008459,0.008573,0.008456,0.008460,0.008460,0
2016-01-18,0.008546,0.008552,0.008515,0.008548,0.008548,0
2016-01-19,0.008518,0.008528,0.008467,0.008519,0.008519,0
2016-01-20,0.008506,0.008619,0.008506,0.008506,0.008506,0
2016-01-21,0.008532,0.008585,0.008514,0.008537,0.008537,0
2016-01-22,0.008480,0.008506,0.008429,0.008480,0.008480,0
2016-01-25,0.008435,0.008462,0.008414,0.008434,0.008434,0
2016-01-26,0.008458,0.008499,0.008432,0.008458,0.008458,0
2016-01-27,0.008447,0.008471,0.008422,0.008447,0.008447,0
2016-01-28,0.008440,0.008445,0.008404,0.008441,0.008441,0
2016-01-29,0.008408,0.008437,0.008220,0.008408,0.008408,0
2016-02-01,0.008241,0.008285,0.008237,0.008241,0.008241,0
2016-02-02,0.008274,0.008319,0.008264,0.008275,0.008275,0
2016-02-03,0.008344,0.008505,0.008331,0.008343,0.008343,0
2016-02-04,0.008463,0.008560,0.008462,0.008466,0.008466,0
2016-02-05,0.008558,0.008582,0.008521,0.008557,0.008557,0
2016-02-08,0.008551,0.008652,0.008509,0.008551,0.008551,0
2016-02-09,0.008647,0.008751,0.008647,0.008645,0.008645,0
2016-02-10,0.008682,0.008750,0.008682,0.008681,0.008681,0
2016-02-11,0.008831,0.009002,0.008813,0.008830,0.008830,0
2016-02-12,0.008890,0.008948,0.008840,0.008889,0.008889,0
2016-02-15,0.008797,0.008828,0.008730,0.008797,0.008797,0
2016-02-16,0.008748,0.008798,0.008706,0.008747,0.008747,0
2016-02-17,0.008762,0.008819,0.008734,0.008766,0.008766,0
2016-02-18,0.008750,0.008801,0.008750,0.008750,0.008750,0
2016-02-19,0.008828,0.008871,0.008828,0.008830,0.008830,0
2016-02-22,0.008887,0.008887,0.008821,0.008890,0.008890,0
2016-02-23,0.008853,0.008945,0.008852,0.008852,0.008852,0
2016-02-24,0.008936,0.009000,0.008911,0.008938,0.008938,0
2016-02-25,0.008923,0.008930,0.008856,0.008921,0.008921,0
2016-02-26,0.008839,0.008884,0.008777,0.008840,0.008840,0
2016-02-29,0.008794,0.008873,0.008784,0.008798,0.008798,0
2016-03-01,0.008895,0.008915,0.008787,0.008894,0.008894,0
2016-03-02,0.008778,0.008792,0.008730,0.008777,0.008777,0
2016-03-03,0.008811,0.008814,0.008752,0.008813,0.008813,0
2016-03-04,0.008797,0.008838,0.008760,0.008797,0.008797,0
2016-03-07,0.008786,0.008818,0.008786,0.008787,0.008787,0
2016-03-08,0.008812,0.008892,0.008812,0.008814,0.008814,0
2016-03-09,0.008875,0.008909,0.008838,0.008876,0.008876,0
2016-03-10,0.008832,0.008837,0.008739,0.008830,0.008830,0
2016-03-11,0.008862,0.008863,0.008779,0.008861,0.008861,0
2016-03-14,0.008790,0.008809,0.008772,0.008789,0.008789,0
2016-03-15,0.008785,0.008875,0.008778,0.008785,0.008785,0
2016-03-16,0.008842,0.008848,0.008787,0.008841,0.008841,0
2016-03-17,0.008866,0.009034,0.008855,0.008869,0.008869,0
2016-03-18,0.008978,0.009023,0.008960,0.008981,0.008981,0
2016-03-21,0.008973,0.008990,0.008941,0.008973,0.008973,0
2016-03-22,0.008917,0.008976,0.008914,0.008918,0.008918,0
2016-03-23,0.008908,0.008917,0.008858,0.008909,0.008909,0
2016-03-24,0.008895,0.008905,0.008851,0.008897,0.008897,0
2016-03-25,0.008863,0.008864,0.008827,0.008863,0.008863,0
2016-03-28,0.008813,0.008837,0.008797,0.008814,0.008814,0
2016-03-29,0.008821,0.008831,0.008789,0.008821,0.008821,0
2016-03-30,0.008877,0.008926,0.008874,0.008875,0.008875,0
2016-03-31,0.008901,0.008920,0.008878,0.008899,0.008899,0
2016-04-01,0.008890,0.008940,0.008890,0.008890,0.008890,0
2016-04-04,0.008952,0.008998,0.008950,0.008951,0.008951,0
2016-04-05,0.008989,0.009087,0.008989,0.008989,0.008989,0
2016-04-06,0.009061,0.009121,0.009039,0.009060,0.009060,0
2016-04-07,0.009113,0.009280,0.009110,0.009116,0.009116,0
2016-04-08,0.009215,0.009240,0.009167,0.009223,0.009223,0
2016-04-11,0.009233,0.009288,0.009223,0.009233,0.009233,0
2016-04-12,0.009264,0.009267,0.009203,0.009265,0.009265,0
2016-04-13,0.009202,0.009213,0.009142,0.009205,0.009205,0
2016-04-14,0.009140,0.009183,0.009130,0.009139,0.009139,0
2016-04-15,0.009147,0.009207,0.009113,0.009148,0.009148,0
2016-04-18,0.009250,0.009271,0.009179,0.009258,0.009258,0
2016-04-19,0.009169,0.009191,0.009135,0.009168,0.009168,0
2016-04-20,0.009159,0.009194,0.009132,0.009154,0.009154,0
2016-04-21,0.009105,0.009146,0.009105,0.009104,0.009104,0
2016-04-22,0.009134,0.009151,0.008966,0.009138,0.009138,0
2016-04-25,0.008972,0.009021,0.008972,0.008974,0.008974,0
2016-04-26,0.009000,0.009036,0.008984,0.008998,0.008998,0
2016-04-27,0.008990,0.009007,0.008978,0.008990,0.008990,0
2016-04-28,0.008967,0.009264,0.008940,0.008967,0.008967,0
2016-04-29,0.009252,0.009371,0.009252,0.009253,0.009253,0
2016-05-02,0.009393,0.009417,0.009364,0.009394,0.009394,0
2016-05-03,0.009398,0.009475,0.009398,0.009399,0.009399,0
2016-05-04,0.009372,0.009409,0.009315,0.009374,0.009374,0
2016-05-05,0.009351,0.009362,0.009308,0.009353,0.009353,0
2016-05-06,0.009315,0.009392,0.009309,0.009322,0.009322,0
2016-05-09,0.009316,0.009324,0.009208,0.009314,0.009314,0
2016-05-10,0.009228,0.009232,0.009152,0.009231,0.009231,0
2016-05-11,0.009157,0.009222,0.009157,0.009158,0.009158,0
2016-05-12,0.009222,0.009239,0.009143,0.009224,0.009224,0
2016-05-13,0.009164,0.009215,0.009136,0.009166,0.009166,0
2016-05-16,0.009202,0.009205,0.009177,0.009203,0.009203,0
2016-05-17,0.009168,0.009187,0.009121,0.009168,0.009168,0
2016-05-18,0.009172,0.009195,0.009106,0.009179,0.009179,0
2016-05-19,0.009074,0.009115,0.009062,0.009079,0.009079,0
2016-05-20,0.009098,0.009103,0.009044,0.009101,0.009101,0
2016-05-23,0.009085,0.009146,0.009085,0.009087,0.009087,0
2016-05-24,0.009146,0.009160,0.009087,0.009143,0.009143,0
2016-05-25,0.009078,0.009102,0.009054,0.009077,0.009077,0
2016-05-26,0.009083,0.009139,0.009081,0.009082,0.009082,0
2016-05-27,0.009117,0.009133,0.009092,0.009115,0.009115,0
2016-05-30,0.009028,0.009032,0.008975,0.009028,0.009028,0
2016-05-31,0.009021,0.009027,0.008982,0.009022,0.009022,0
2016-06-01,0.009038,0.009169,0.009023,0.009036,0.009036,0
2016-06-02,0.009141,0.009214,0.009137,0.009134,0.009134,0
2016-06-03,0.009181,0.009378,0.009164,0.009186,0.009186,0
2016-06-06,0.009373,0.009385,0.009309,0.009370,0.009370,0
2016-06-07,0.009311,0.009329,0.009270,0.009308,0.009308,0
2016-06-08,0.009325,0.009380,0.009323,0.009324,0.009324,0
2016-06-09,0.009363,0.009409,0.009358,0.009365,0.009365,0
2016-06-10,0.009339,0.009373,0.009327,0.009338,0.009338,0
2016-06-13,0.009391,0.009457,0.009379,0.009389,0.009389,0
2016-06-14,0.009416,0.009465,0.009398,0.009414,0.009414,0
2016-06-15,0.009428,0.009453,0.009401,0.009426,0.009426,0
2016-06-16,0.009446,0.009650,0.009446,0.009447,0.009447,0
2016-06-17,0.009544,0.009606,0.009541,0.009547,0.009547,0
2016-06-20,0.009555,0.009588,0.009539,0.009556,0.009556,0
2016-06-21,0.009635,0.009651,0.009547,0.009632,0.009632,0
2016-06-22,0.009554,0.009585,0.009545,0.009554,0.009554,0
2016-06-23,0.009562,0.009592,0.009434,0.009556,0.009556,0
2016-06-24,0.009533,0.010003,0.009479,0.009533,0.009533,0
2016-06-27,0.009783,0.009857,0.009766,0.009792,0.009792,0
2016-06-28,0.009828,0.009844,0.009728,0.009822,0.009822,0
2016-06-29,0.009738,0.009786,0.009729,0.009737,0.009737,0
2016-06-30,0.009734,0.009766,0.009714,0.009730,0.009730,0
2016-07-01,0.009704,0.009760,0.009695,0.009702,0.009702,0
2016-07-04,0.009759,0.009760,0.009728,0.009757,0.009757,0
2016-07-05,0.009754,0.009856,0.009754,0.009754,0.009754,0
2016-07-06,0.009885,0.009979,0.009874,0.009887,0.009887,0
2016-07-07,0.009892,0.009939,0.009878,0.009886,0.009886,0
2016-07-08,0.009921,0.009990,0.009886,0.009922,0.009922,0
2016-07-11,0.009933,0.009944,0.009738,0.009931,0.009931,0
2016-07-12,0.009756,0.009759,0.009543,0.009754,0.009754,0
2016-07-13,0.009548,0.009619,0.009538,0.009546,0.009546,0
2016-07-14,0.009612,0.009612,0.009442,0.009608,0.009608,0
2016-07-15,0.009509,0.009510,0.009407,0.009507,0.009507,0
2016-07-18,0.009484,0.009496,0.009418,0.009482,0.009482,0
2016-07-19,0.009422,0.009463,0.009387,0.009421,0.009421,0
2016-07-20,0.009422,0.009447,0.009365,0.009422,0.009422,0
2016-07-21,0.009331,0.009484,0.009304,0.009328,0.009328,0
2016-07-22,0.009452,0.009470,0.009400,0.009451,0.009451,0
2016-07-25,0.009411,0.009439,0.009372,0.009405,0.009405,0
2016-07-26,0.009471,0.009613,0.009467,0.009472,0.009472,0
2016-07-27,0.009539,0.009539,0.009389,0.009538,0.009538,0
2016-07-28,0.009530,0.009567,0.009510,0.009528,0.009528,0
2016-07-29,0.009545,0.009777,0.009541,0.009547,0.009547,0
2016-08-01,0.009771,0.009791,0.009739,0.009772,0.009772,0
2016-08-02,0.009775,0.009919,0.009728,0.009770,0.009770,0
2016-08-03,0.009893,0.009926,0.009848,0.009894,0.009894,0
2016-08-04,0.009870,0.009914,0.009836,0.009868,0.009868,0
2016-08-05,0.009879,0.009912,0.009801,0.009882,0.009882,0
2016-08-08,0.009800,0.009813,0.009744,0.009790,0.009790,0
2016-08-09,0.009777,0.009823,0.009754,0.009776,0.009776,0
2016-08-10,0.009811,0.009904,0.009811,0.009812,0.009812,0
2016-08-11,0.009888,0.009899,0.009853,0.009888,0.009888,0
2016-08-12,0.009822,0.009915,0.009778,0.009822,0.009822,0
2016-08-15,0.009875,0.009912,0.009857,0.009873,0.009873,0
2016-08-16,0.009876,0.010043,0.009876,0.009878,0.009878,0
2016-08-17,0.009979,0.009983,0.009889,0.009980,0.009980,0
2016-08-18,0.010011,0.010035,0.009953,0.010009,0.010009,0
2016-08-19,0.009986,0.009995,0.009957,0.009989,0.009989,0
2016-08-22,0.009946,0.009978,0.009908,0.009945,0.009945,0
2016-08-23,0.009970,0.010004,0.009962,0.009975,0.009975,0
2016-08-24,0.009965,0.009990,0.009943,0.009969,0.009969,0
